Date,High,Low,Close,Adj Close,Volume,Open
5/7/1984,0.560268,0.533482,0.555804,0.439196,40017600,0.537946
5/8/1984,0.591518,0.558036,0.587054,0.46389,63750400,0.558036
5/9/1984,0.613839,0.580357,0.591518,0.467418,101253600,0.587054
5/10/1984,0.600446,0.575893,0.591518,0.467418,59656800,0.591518
5/11/1984,0.59375,0.553571,0.575893,0.455071,49431200,0.591518
5/14/1984,0.573661,0.558036,0.564732,0.446252,22321600,0.573661
5/15/1984,0.573661,0.5625,0.569196,0.449779,25676000,0.564732
5/16/1984,0.573661,0.542411,0.544643,0.430377,54930400,0.569196
5/17/1984,0.544643,0.513393,0.520089,0.410975,70487200,0.544643
5/18/1984,0.533482,0.513393,0.53125,0.419794,48367200,0.520089
5/21/1984,0.575893,0.529018,0.569196,0.449779,108763200,0.53125
5/22/1984,0.569196,0.535714,0.551339,0.435669,75314400,0.569196
5/23/1984,0.555804,0.540179,0.540179,0.426849,42240800,0.551339
5/24/1984,0.540179,0.515625,0.524554,0.414503,48328000,0.540179
5/25/1984,0.533482,0.520089,0.526786,0.416266,30027200,0.524554
5/29/1984,0.53125,0.515625,0.524554,0.414503,39065600,0.526786
5/30/1984,0.526786,0.5,0.517857,0.409211,79609600,0.524554
5/31/1984,0.53125,0.513393,0.524554,0.414503,41753600,0.517857
6/1/1984,0.542411,0.522321,0.542411,0.428613,60575200,0.524554
6/4/1984,0.549107,0.524554,0.529018,0.41803,37072000,0.542411
6/5/1984,0.520089,0.495536,0.497768,0.393336,82107200,0.520089
6/6/1984,0.520089,0.495536,0.517857,0.409211,40364800,0.497768
6/7/1984,0.520089,0.502232,0.513393,0.405683,25636800,0.517857
6/8/1984,0.515625,0.5,0.511161,0.40392,27244000,0.513393
6/11/1984,0.515625,0.504464,0.511161,0.40392,21061600,0.511161
6/12/1984,0.526786,0.508929,0.520089,0.410975,29282400,0.511161
6/13/1984,0.533482,0.522321,0.53125,0.419794,28929600,0.522321
6/14/1984,0.53125,0.513393,0.515625,0.407447,25239200,0.53125
6/15/1984,0.524554,0.515625,0.517857,0.409211,22444800,0.515625
6/18/1984,0.53125,0.506696,0.529018,0.41803,28649600,0.517857
6/19/1984,0.542411,0.524554,0.524554,0.414503,40236000,0.529018
6/20/1984,0.540179,0.513393,0.540179,0.426849,29881600,0.524554
6/21/1984,0.546875,0.517857,0.517857,0.409211,35476000,0.540179
6/22/1984,0.526786,0.511161,0.511161,0.40392,21151200,0.517857
6/25/1984,0.515625,0.482143,0.486607,0.384517,41871200,0.511161
6/26/1984,0.488839,0.464286,0.464286,0.366879,37161600,0.486607
6/27/1984,0.46875,0.433036,0.450893,0.356296,94320800,0.464286
6/28/1984,0.477679,0.450893,0.470982,0.37217,29579200,0.450893
6/29/1984,0.495536,0.470982,0.473214,0.373934,35498400,0.470982
7/2/1984,0.475446,0.448661,0.457589,0.361587,39916800,0.473214
7/3/1984,0.459821,0.444196,0.450893,0.356296,44766400,0.457589
7/5/1984,0.455357,0.435268,0.441964,0.34924,23296000,0.450893
7/6/1984,0.455357,0.433036,0.448661,0.354532,23912000,0.441964
7/9/1984,0.470982,0.441964,0.46875,0.370406,47667200,0.448661
7/10/1984,0.484375,0.466518,0.479911,0.379226,43075200,0.46875
7/11/1984,0.486607,0.466518,0.473214,0.373934,30273600,0.479911
7/12/1984,0.484375,0.470982,0.475446,0.375698,42173600,0.473214
7/13/1984,0.484375,0.464286,0.470982,0.37217,33986400,0.475446
7/16/1984,0.470982,0.446429,0.459821,0.363351,50747200,0.470982
7/17/1984,0.464286,0.453125,0.459821,0.363351,21212800,0.459821
7/18/1984,0.462054,0.450893,0.453125,0.35806,26006400,0.459821
7/19/1984,0.459821,0.448661,0.453125,0.35806,19476800,0.453125
7/20/1984,0.459821,0.450893,0.453125,0.35806,8293600,0.453125
7/23/1984,0.453125,0.4375,0.448661,0.354532,23508800,0.453125
7/24/1984,0.482143,0.446429,0.475446,0.375698,44811200,0.448661
7/25/1984,0.488839,0.477679,0.477679,0.377462,50114400,0.477679
7/26/1984,0.493304,0.473214,0.486607,0.384517,35834400,0.477679
7/27/1984,0.491071,0.482143,0.484375,0.382753,18485600,0.486607
7/30/1984,0.486607,0.450893,0.455357,0.359824,31259200,0.484375
7/31/1984,0.462054,0.444196,0.455357,0.359824,49907200,0.455357
8/1/1984,0.459821,0.433036,0.446429,0.352768,71433600,0.455357
8/2/1984,0.453125,0.430804,0.430804,0.340421,75919200,0.446429
8/3/1984,0.491071,0.428571,0.488839,0.386281,154515200,0.430804
8/6/1984,0.544643,0.486607,0.522321,0.412739,156699200,0.488839
8/7/1984,0.535714,0.497768,0.529018,0.41803,83120800,0.522321
8/8/1984,0.540179,0.504464,0.508929,0.402156,73600800,0.529018
8/9/1984,0.535714,0.497768,0.53125,0.419794,64405600,0.508929
8/10/1984,0.551339,0.506696,0.508929,0.402156,99344000,0.53125
8/13/1984,0.540179,0.502232,0.535714,0.423322,60362400,0.508929
8/14/1984,0.540179,0.508929,0.515625,0.407447,43517600,0.535714
8/15/1984,0.513393,0.493304,0.497768,0.393336,44721600,0.513393
8/16/1984,0.506696,0.491071,0.502232,0.396864,36204000,0.497768
8/17/1984,0.504464,0.484375,0.491071,0.388045,38483200,0.502232
8/20/1984,0.493304,0.475446,0.488839,0.386281,34613600,0.491071
8/21/1984,0.513393,0.488839,0.508929,0.402156,44884000,0.488839
8/22/1984,0.522321,0.495536,0.5,0.3951,55104000,0.508929
8/23/1984,0.511161,0.5,0.502232,0.396864,20854400,0.5
8/24/1984,0.508929,0.497768,0.502232,0.396864,17724000,0.502232
8/27/1984,0.502232,0.488839,0.497768,0.393336,21918400,0.502232
8/28/1984,0.504464,0.493304,0.504464,0.398628,14789600,0.497768
8/29/1984,0.506696,0.486607,0.491071,0.388045,18530400,0.504464
8/30/1984,0.497768,0.482143,0.482143,0.38099,12740000,0.491071
8/31/1984,0.484375,0.466518,0.473214,0.373934,34462400,0.482143
9/4/1984,0.477679,0.464286,0.46875,0.370406,29960000,0.473214
9/5/1984,0.475446,0.464286,0.46875,0.370406,25939200,0.46875
9/6/1984,0.479911,0.46875,0.473214,0.373934,32743200,0.46875
9/7/1984,0.479911,0.46875,0.473214,0.373934,20815200,0.473214
9/10/1984,0.475446,0.462054,0.470982,0.37217,16156000,0.473214
9/11/1984,0.488839,0.475446,0.479911,0.379226,38096800,0.475446
9/12/1984,0.482143,0.466518,0.466518,0.368643,33280800,0.479911
9/13/1984,0.493304,0.491071,0.491071,0.388045,51833600,0.491071
9/14/1984,0.508929,0.493304,0.497768,0.393336,61717600,0.493304
9/17/1984,0.517857,0.511161,0.511161,0.40392,48188000,0.511161
9/18/1984,0.515625,0.493304,0.493304,0.389809,24326400,0.511161
9/19/1984,0.497768,0.482143,0.482143,0.38099,26572000,0.493304
9/20/1984,0.488839,0.484375,0.484375,0.382753,16542400,0.484375
9/21/1984,0.497768,0.473214,0.479911,0.379226,24959200,0.484375
9/24/1984,0.482143,0.475446,0.475446,0.375698,19751200,0.479911
9/25/1984,0.473214,0.466518,0.466518,0.368643,41697600,0.473214
9/26/1984,0.486607,0.459821,0.459821,0.363351,27742400,0.466518
9/27/1984,0.462054,0.459821,0.459821,0.363351,26482400,0.459821
9/28/1984,0.459821,0.439732,0.448661,0.354532,58352000,0.459821
10/1/1984,0.446429,0.4375,0.4375,0.345713,24444000,0.446429
10/2/1984,0.457589,0.441964,0.441964,0.34924,29562400,0.441964
10/3/1984,0.455357,0.448661,0.448661,0.354532,30105600,0.448661
10/4/1984,0.457589,0.453125,0.453125,0.35806,31371200,0.453125
10/5/1984,0.453125,0.441964,0.444196,0.351004,24393600,0.453125
10/8/1984,0.446429,0.444196,0.444196,0.351004,11743200,0.444196
10/9/1984,0.446429,0.439732,0.439732,0.347477,31315200,0.444196
10/10/1984,0.439732,0.426339,0.426339,0.336894,91212800,0.439732
10/11/1984,0.4375,0.424107,0.424107,0.33513,45690400,0.426339
10/12/1984,0.426339,0.401786,0.40625,0.321019,66449600,0.424107
10/15/1984,0.433036,0.428571,0.428571,0.338657,60816000,0.428571
10/16/1984,0.430804,0.426339,0.426339,0.336894,29506400,0.428571
10/17/1984,0.446429,0.444196,0.444196,0.351004,39160800,0.444196
10/18/1984,0.459821,0.457589,0.457589,0.361587,61790400,0.457589
10/19/1984,0.488839,0.455357,0.457589,0.361587,81530400,0.457589
10/22/1984,0.464286,0.453125,0.453125,0.35806,28688800,0.457589
10/23/1984,0.46875,0.464286,0.464286,0.366879,46608800,0.464286
10/24/1984,0.473214,0.46875,0.46875,0.370406,41753600,0.46875
10/25/1984,0.46875,0.450893,0.450893,0.356296,39541600,0.46875
10/26/1984,0.450893,0.4375,0.439732,0.347477,28711200,0.450893
10/29/1984,0.444196,0.441964,0.441964,0.34924,12661600,0.441964
10/30/1984,0.450893,0.446429,0.446429,0.352768,18648000,0.446429
10/31/1984,0.450893,0.444196,0.444196,0.351004,15058400,0.446429
11/1/1984,0.450893,0.446429,0.446429,0.352768,11760000,0.446429
11/2/1984,0.448661,0.441964,0.444196,0.351004,6921600,0.446429
11/5/1984,0.453125,0.441964,0.441964,0.34924,26342400,0.444196
11/6/1984,0.470982,0.46875,0.46875,0.370406,56330400,0.46875
11/7/1984,0.470982,0.459821,0.459821,0.363351,57887200,0.46875
11/8/1984,0.459821,0.441964,0.441964,0.34924,22030400,0.459821
11/9/1984,0.444196,0.410714,0.415179,0.328074,73533600,0.441964
11/12/1984,0.433036,0.430804,0.430804,0.340421,28313600,0.430804
11/13/1984,0.439732,0.419643,0.419643,0.331602,31668000,0.430804
11/14/1984,0.428571,0.424107,0.424107,0.33513,26084800,0.424107
11/15/1984,0.428571,0.424107,0.424107,0.33513,26650400,0.424107
11/16/1984,0.430804,0.412946,0.415179,0.328074,41440000,0.424107
11/19/1984,0.417411,0.390625,0.390625,0.308672,58245600,0.415179
11/20/1984,0.40625,0.404018,0.404018,0.319255,65811200,0.404018
11/21/1984,0.415179,0.412946,0.412946,0.326311,44682400,0.412946
11/23/1984,0.430804,0.417411,0.424107,0.33513,34272000,0.417411
11/26/1984,0.428571,0.428571,0.428571,0.338657,25160800,0.428571
11/27/1984,0.444196,0.439732,0.439732,0.347477,31852800,0.439732
11/28/1984,0.473214,0.462054,0.462054,0.365115,102631200,0.462054
11/29/1984,0.462054,0.453125,0.453125,0.35806,43719200,0.462054
11/30/1984,0.457589,0.439732,0.441964,0.34924,27176800,0.453125
12/3/1984,0.444196,0.435268,0.435268,0.343949,24500000,0.441964
12/4/1984,0.453125,0.444196,0.444196,0.351004,30094400,0.444196
12/5/1984,0.466518,0.466518,0.466518,0.368643,65727200,0.466518
12/6/1984,0.491071,0.488839,0.488839,0.386281,79318400,0.488839
12/7/1984,0.506696,0.484375,0.486607,0.384517,123631200,0.488839
12/10/1984,0.486607,0.477679,0.477679,0.377462,27871200,0.486607
12/11/1984,0.484375,0.470982,0.470982,0.37217,30945600,0.477679
12/12/1984,0.470982,0.455357,0.455357,0.359824,27518400,0.470982
12/13/1984,0.46875,0.459821,0.459821,0.363351,16710400,0.459821
12/14/1984,0.475446,0.459821,0.470982,0.37217,24035200,0.459821
12/17/1984,0.486607,0.482143,0.482143,0.38099,31309600,0.482143
12/18/1984,0.513393,0.511161,0.511161,0.40392,85142400,0.511161
12/19/1984,0.513393,0.491071,0.491071,0.388045,79374400,0.511161
12/20/1984,0.5,0.488839,0.488839,0.386281,34960800,0.491071
12/21/1984,0.491071,0.477679,0.482143,0.38099,30973600,0.488839
12/24/1984,0.493304,0.491071,0.491071,0.388045,16884000,0.491071
12/26/1984,0.497768,0.493304,0.493304,0.389809,16794400,0.493304
12/27/1984,0.497768,0.495536,0.495536,0.391573,24690400,0.495536
12/28/1984,0.515625,0.493304,0.513393,0.405683,41333600,0.495536
12/31/1984,0.522321,0.520089,0.520089,0.410975,51940000,0.520089
1/2/1985,0.520089,0.497768,0.497768,0.393336,43825600,0.520089
1/3/1985,0.520089,0.506696,0.506696,0.400392,41652800,0.506696
1/4/1985,0.508929,0.5,0.506696,0.400392,34316800,0.506696
1/7/1985,0.508929,0.504464,0.504464,0.398628,42728000,0.506696
1/8/1985,0.508929,0.5,0.5,0.3951,35280000,0.504464
1/9/1985,0.520089,0.513393,0.513393,0.405683,41680800,0.513393
1/10/1985,0.537946,0.535714,0.535714,0.423322,69266400,0.535714
1/11/1985,0.540179,0.526786,0.53125,0.419794,51262400,0.535714
1/14/1985,0.551339,0.546875,0.546875,0.432141,67608800,0.546875
1/15/1985,0.555804,0.535714,0.535714,0.423322,66242400,0.546875
1/16/1985,0.549107,0.540179,0.540179,0.426849,47471200,0.540179
1/17/1985,0.549107,0.502232,0.502232,0.396864,136880800,0.540179
1/18/1985,0.522321,0.5,0.511161,0.40392,88166400,0.502232
1/21/1985,0.526786,0.522321,0.522321,0.412739,81356800,0.522321
1/22/1985,0.540179,0.537946,0.537946,0.425086,106209600,0.537946
1/23/1985,0.540179,0.529018,0.529018,0.41803,107626400,0.537946
1/24/1985,0.529018,0.517857,0.517857,0.409211,99265600,0.529018
1/25/1985,0.529018,0.506696,0.529018,0.41803,79615200,0.517857
